Name, Health, NHL Team, Position, GFHL Team, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Adam Henrique, IR, Ana, C- LW, FA, 57, 19, 14, -7, 22, 3, 6, 0, 0, 1, 323, 308, 0, 122, 28, 44, 101.4
Michael Pezzetta, Healthy, Mon, C- LW- RW, FA, 58, 6, 7, 1, 61, 0, 1, 0, 0, 0, 7, 11, 0, 62, 219, 25, 101.15
Cody Glass, Healthy, Nsh, C, FA, 65, 13, 18, 9, 18, 5, 2, 0, 0, 1, 317, 325, 0, 116, 58, 26, 100.9
Patrik Nemeth, Healthy, Ari, D, FA, 71, 0, 5, -2, 28, 0, 0, 0, 0, 0, 0, 0, 0, 57, 113, 115, 100.8
Jesper Fast, Healthy, Car, RW, FA, 74, 8, 18, 7, 14, 0, 0, 0, 3, 1, 10, 12, 0, 68, 96, 34, 100.75
Evander Kane, Healthy, Edm, LW, OXP, 36, 15, 12, -5, 47, 0, 2, 1, 1, 3, 12, 19, 2, 128, 103, 15, 100.55
Lars Eller, Healthy, Col, C, FA, 77, 10, 10, 1, 44, 0, 0, 1, 0, 1, 509, 437, 0, 126, 92, 40, 100.5
Wyatt Johnston, Healthy, Dal, C, FA, 76, 21, 15, 3, 20, 2, 4, 0, 0, 2, 132, 171, 0, 150, 21, 30, 100.4
Nate Schmidt, Healthy, Wpg, D, FA, 67, 7, 10, 14, 8, 3, 2, 0, 0, 0, 0, 0, 0, 94, 44, 81, 100.3
Cole Smith, O, Nsh, LW, FA, 69, 4, 13, -3, 60, 0, 0, 0, 2, 1, 0, 5, 0, 64, 198, 25, 100.3
Trevor Lewis, Healthy, Cgy, C- RW, FA, 77, 9, 10, -7, 16, 1, 0, 1, 0, 1, 116, 164, 0, 137, 153, 30, 100.2
Sam Lafferty, Healthy, Tor, C- LW, FA, 67, 11, 13, -13, 32, 0, 0, 4, 1, 1, 244, 232, 0, 99, 118, 32, 100.05
Justin Schultz, Healthy, Sea, D, FA, 67, 6, 23, 1, 38, 1, 10, 0, 0, 3, 0, 0, 0, 87, 30, 66, 99.9
Evan Rodrigues, Healthy, Col, C- RW, FA, 62, 14, 20, 3, 28, 6, 4, 0, 0, 1, 117, 118, 0, 173, 32, 22, 99.5
Torey Krug, Healthy, StL, D, FA, 58, 7, 24, -27, 47, 4, 10, 0, 0, 1, 0, 0, 0, 116, 36, 79, 99.2
Casey Mittelstadt, Healthy, Buf, C- LW, FA, 75, 10, 39, -12, 22, 4, 12, 1, 0, 1, 297, 347, 0, 115, 28, 14, 99.2
Erik Johnson, Healthy, Col, D, FA, 56, 0, 7, 9, 12, 0, 0, 0, 1, 0, 0, 0, 0, 85, 107, 88, 99.15
Ilya Lyubushkin, Healthy, Buf, D, FA, 61, 2, 12, 0, 36, 0, 0, 1, 1, 1, 0, 0, 0, 40, 93, 92, 99.05
Tyler Motte, Healthy, NYR, C- LW, FA, 57, 6, 10, 0, 6, 0, 0, 1, 0, 0, 21, 30, 0, 95, 115, 57, 99.0
Alex Wennberg, Healthy, Sea, C, FA, 75, 13, 22, -4, 12, 4, 4, 0, 0, 3, 578, 701, 0, 95, 40, 56, 99.0
Morgan Barron, Healthy, Wpg, C, FA, 65, 8, 11, 3, 31, 0, 1, 1, 1, 2, 11, 15, 0, 108, 112, 40, 98.9
Warren Foegele, Healthy, Edm, LW, FA, 62, 13, 13, 4, 24, 0, 0, 1, 0, 4, 7, 6, 0, 116, 92, 19, 98.9
Josh Mahura, Healthy, Fla, D, FA, 77, 4, 12, 16, 36, 0, 0, 0, 0, 1, 1, 0, 0, 76, 93, 63, 98.5
Brandon Saad, Healthy, StL, LW- RW, FA, 66, 19, 17, -7, 12, 2, 2, 2, 1, 1, 3, 4, 0, 118, 24, 30, 97.95
Lucas Raymond, Healthy, Det, LW- RW, BOWS, 68, 16, 24, -19, 24, 5, 12, 0, 0, 3, 5, 12, 0, 127, 37, 20, 97.7
Austin Watson, Healthy, Ott, RW- LW, FA, 73, 9, 2, -6, 113, 0, 0, 3, 0, 2, 5, 8, 0, 77, 162, 58, 96.7
Mathieu Olivier, O, Cls, C- RW, FA, 66, 5, 10, -20, 81, 0, 0, 0, 0, 1, 2, 13, 0, 75, 178, 58, 96.7
Zach Whitecloud, Healthy, Vgk, D, FA, 55, 5, 6, 8, 41, 0, 0, 0, 0, 1, 0, 0, 0, 61, 85, 90, 96.5
Cole Caufield, IR, Mon, RW- LW, LKR, 46, 26, 10, -10, 2, 7, 3, 0, 0, 3, 0, 0, 0, 158, 18, 12, 96.25
Nick Leddy, Healthy, StL, D, FA, 73, 2, 19, 2, 20, 0, 0, 0, 0, 1, 0, 0, 0, 74, 41, 87, 95.7
Jordan Harris, Healthy, Mon, D, FA, 65, 4, 13, -3, 26, 0, 1, 0, 0, 0, 0, 0, 0, 70, 53, 98, 95.55
Matias Maccelli, Healthy, Ari, LW, CLB, 59, 10, 34, 2, 18, 1, 12, 0, 0, 1, 0, 7, 0, 56, 23, 18, 95.5
Vladislav Namestnikov, Healthy, Wpg, C- LW, FA, 72, 8, 16, 5, 29, 1, 2, 0, 0, 0, 68, 109, 0, 101, 101, 37, 95.4
Marc-Edouard Vlasic, Healthy, SJ, D, FA, 75, 1, 17, -11, 16, 0, 0, 0, 0, 0, 0, 0, 0, 63, 42, 112, 95.3
Jalen Chatfield, Healthy, Car, D, FA, 72, 6, 8, 22, 33, 0, 0, 1, 1, 2, 0, 0, 0, 87, 72, 59, 95.25
Nick Perbix, Healthy, TB, D, FA, 64, 4, 15, 12, 18, 0, 0, 0, 0, 2, 0, 0, 0, 106, 68, 55, 95.2
Jack Quinn, Healthy, Buf, RW, FA, 68, 14, 22, -1, 15, 1, 5, 0, 1, 2, 10, 19, 0, 113, 40, 18, 94.9
Jack Johnson, Healthy, Col, D, FA, 76, 1, 6, -21, 28, 0, 0, 0, 2, 0, 0, 1, 0, 81, 102, 114, 94.8
Paul Cotter, Healthy, Vgk, C, FA, 54, 13, 5, -6, 15, 0, 0, 0, 0, 1, 11, 13, 0, 75, 163, 17, 94.7
Johnathan Kovacevic, Healthy, Mon, D, FA, 72, 2, 12, 3, 39, 0, 0, 0, 0, 0, 0, 0, 0, 82, 86, 82, 94.6
Christian Dvorak, O, Mon, LW- C, FA, 64, 10, 18, -12, 6, 0, 3, 1, 0, 1, 477, 440, 1, 88, 13, 66, 94.55
Mattias Samuelsson, Healthy, Buf, D, FA, 50, 1, 8, 11, 18, 0, 0, 0, 1, 0, 1, 0, 0, 69, 92, 83, 94.55
Anthony Cirelli, Healthy, TB, C, FA, 54, 11, 16, 10, 31, 1, 1, 2, 0, 1, 397, 385, 0, 105, 32, 43, 94.45
Sean Walker, Healthy, LA, D, FA, 65, 3, 10, -4, 34, 0, 1, 0, 0, 1, 0, 0, 0, 90, 67, 97, 94.45
Cal Clutterbuck, Healthy, NYI, RW, FA, 45, 6, 5, 7, 30, 0, 0, 0, 0, 1, 1, 4, 0, 40, 179, 32, 94.4
David Kampf, Healthy, Tor, RW- C, FA, 76, 7, 18, 3, 8, 0, 0, 0, 3, 1, 549, 510, 0, 102, 72, 27, 94.15
Victor Olofsson, Healthy, Buf, RW, FA, 73, 26, 12, -26, 4, 7, 5, 0, 0, 5, 1, 5, 0, 155, 16, 15, 93.75
Josh Archibald, Healthy, Pit, RW, FA, 58, 6, 5, 5, 41, 0, 0, 0, 0, 0, 1, 3, 0, 66, 185, 26, 92.8
TJ Brodie, Healthy, Tor, D, FA, 53, 2, 11, 11, 12, 0, 0, 0, 1, 0, 0, 0, 0, 55, 44, 96, 92.25
Rafael Harvey-Pinard, DTD, Mon, LW- RW, DINK, 32, 14, 5, 4, 8, 4, 0, 1, 0, 1, 0, 1, 1, 56, 55, 55, 92.2
Sean Kuraly, Healthy, Cls, C- LW, FA, 65, 10, 7, -27, 66, 0, 0, 1, 1, 0, 515, 525, 0, 90, 168, 43, 92.05
Kailer Yamamoto, Healthy, Edm, RW, FA, 53, 10, 14, 13, 24, 0, 0, 1, 1, 3, 6, 4, 0, 88, 72, 23, 91.95
Dylan Samberg, Healthy, Wpg, D, FA, 58, 2, 6, 9, 19, 0, 0, 0, 1, 0, 0, 0, 0, 45, 87, 90, 91.95
Ryan Johansen, O, Nsh, C, FA, 55, 12, 16, -13, 32, 5, 5, 0, 0, 1, 502, 346, 0, 86, 49, 19, 91.45
Bowen Byram, Healthy, Col, D, BBS, 37, 10, 12, 6, 34, 2, 4, 1, 0, 1, 0, 0, 0, 61, 74, 43, 91.4
Kyle Okposo, Healthy, Buf, RW, FA, 68, 11, 15, -6, 30, 1, 3, 1, 0, 3, 141, 162, 1, 138, 73, 24, 91.35
Alexey Toropchenko, Healthy, StL, RW- C, FA, 64, 8, 8, 2, 12, 0, 0, 1, 0, 0, 1, 5, 0, 76, 116, 41, 91.3
Eric Robinson, Healthy, Cls, LW, FA, 69, 11, 11, -20, 6, 0, 0, 0, 2, 1, 3, 12, 1, 97, 120, 28, 91.2
Erik Brannstrom, Healthy, Ott, D, FA, 69, 2, 13, 4, 32, 0, 1, 0, 0, 0, 0, 0, 0, 68, 47, 95, 90.95
Joe Veleno, Healthy, Det, C, FA, 75, 8, 10, -6, 26, 0, 3, 0, 0, 1, 257, 345, 0, 80, 143, 43, 90.75
Nick Cousins, Healthy, Fla, C- LW- RW, FA, 74, 8, 18, -2, 36, 0, 0, 0, 0, 2, 57, 66, 0, 96, 82, 33, 90.2
Brock McGinn, Healthy, Ana, LW- RW, FA, 74, 12, 7, -6, 21, 0, 0, 2, 0, 3, 4, 10, 0, 91, 83, 43, 89.3
Carl Grundstrom, Healthy, LA, LW, FA, 52, 12, 7, -1, 16, 1, 0, 0, 0, 2, 4, 5, 0, 82, 132, 13, 89.1
Andre Burakovsky, IR, Sea, LW- RW, FA, 49, 13, 26, -9, 14, 4, 10, 0, 0, 3, 0, 6, 0, 105, 17, 15, 89.1
Zach Aston-Reese, Healthy, Tor, C- LW, FA, 71, 8, 3, -7, 25, 0, 0, 0, 0, 1, 7, 6, 0, 82, 149, 41, 89.0
Klim Kostin, Healthy, Edm, RW, FA, 52, 10, 9, 10, 60, 0, 0, 0, 0, 2, 4, 6, 0, 52, 141, 14, 88.8
Tommy Novak, Healthy, Nsh, C, FA, 44, 15, 23, 4, 8, 4, 6, 0, 0, 3, 153, 188, 0, 80, 6, 20, 88.5
Miles Wood, Healthy, NJ, LW, FA, 71, 11, 14, 0, 72, 1, 1, 0, 0, 1, 1, 5, 0, 156, 94, 15, 88.45
Derick Brassard, O, Ott, C- LW, FA, 62, 13, 10, 3, 30, 5, 5, 0, 0, 4, 143, 143, 0, 92, 90, 10, 88.45
Anton Lundell, Healthy, Fla, C, FA, 68, 12, 20, 0, 39, 0, 5, 2, 0, 1, 239, 272, 0, 144, 26, 30, 88.25
Andreas Athanasiou, Healthy, Chi, LW- RW, FA, 75, 16, 15, -28, 32, 3, 2, 0, 0, 3, 44, 73, 0, 147, 42, 43, 88.2
Ryan Reaves, Healthy, Min, RW, FA, 67, 5, 9, -2, 36, 0, 0, 0, 0, 0, 4, 11, 0, 42, 182, 22, 88.0
Connor Dewar, Healthy, Min, C- LW, FA, 75, 6, 11, -4, 50, 0, 0, 3, 1, 0, 204, 247, 0, 80, 116, 48, 87.75
Trevor Moore, Healthy, LA, LW- RW, FA, 54, 9, 17, -4, 12, 2, 5, 1, 1, 1, 14, 26, 1, 147, 53, 22, 87.7
Patrick Brown, Healthy, Ott, C- RW, FA, 56, 3, 7, -2, 23, 0, 0, 1, 0, 0, 175, 158, 0, 52, 157, 39, 87.7
Mike Hoffman, Healthy, Mon, LW- RW, FA, 63, 13, 20, -10, 26, 1, 9, 0, 0, 3, 16, 11, 0, 141, 23, 24, 87.65
Pierre Engvall, Healthy, NYI, LW- C- RW, FA, 72, 17, 12, 8, 29, 1, 2, 0, 0, 4, 33, 31, 0, 127, 45, 6, 87.5
Troy Stecher, Healthy, Cgy, D, FA, 76, 2, 11, -6, 42, 0, 0, 0, 0, 1, 0, 0, 0, 80, 66, 90, 87.1
Kevin Labanc, Healthy, SJ, RW- LW, FA, 66, 13, 17, -14, 32, 2, 1, 0, 0, 0, 3, 3, 0, 116, 63, 28, 87.05
Ryan Lomberg, Healthy, Fla, LW- C, FA, 77, 11, 8, -1, 86, 0, 0, 0, 0, 1, 13, 13, 0, 124, 129, 20, 87.0
Ondrej Palat, Healthy, NJ, LW, OXP, 45, 8, 13, 5, 4, 1, 2, 0, 0, 1, 0, 8, 0, 75, 67, 41, 86.9
Sebastian Aho, Healthy, NYI, D, FA, 67, 5, 16, 5, 22, 0, 1, 0, 0, 0, 0, 0, 0, 84, 36, 66, 86.75
Yegor Sharangovich, Healthy, NJ, C- LW, FA, 71, 13, 16, -6, 14, 0, 0, 2, 2, 2, 22, 48, 0, 123, 19, 40, 86.5
Kent Johnson, Healthy, Cls, C- LW, FA, 73, 16, 22, -17, 12, 5, 7, 0, 0, 3, 40, 97, 0, 109, 14, 29, 86.45
Pierre-Olivier Joseph, Healthy, Pit, D, FA, 70, 5, 15, 7, 44, 1, 2, 0, 0, 1, 0, 0, 0, 102, 83, 35, 86.2
Anthony Mantha, Healthy, Wsh, RW- LW, FA, 67, 11, 16, -8, 31, 1, 1, 0, 0, 2, 9, 8, 0, 119, 68, 24, 86.05
Arber Xhekaj, IR, Mon, D, FA, 51, 5, 7, -9, 101, 2, 1, 0, 0, 0, 0, 0, 0, 75, 159, 46, 85.35
Kaiden Guhle, O, Mon, D, FA, 44, 4, 14, -19, 27, 0, 0, 0, 0, 0, 0, 0, 0, 48, 84, 77, 85.3
Kirill Marchenko, Healthy, Cls, LW, FA, 53, 21, 4, -16, 14, 7, 1, 0, 0, 1, 8, 5, 1, 115, 32, 37, 85.25
Nikolaj Ehlers, Healthy, Wpg, LW- RW, BBS, 41, 12, 23, -3, 11, 3, 7, 0, 0, 0, 1, 1, 0, 123, 32, 7, 84.55
Morgan Geekie, Healthy, Sea, C, FA, 63, 7, 17, 14, 22, 0, 0, 0, 0, 3, 267, 275, 0, 67, 51, 31, 84.0
Steven Lorentz, Healthy, SJ, C- LW, FA, 74, 8, 8, -14, 16, 0, 0, 1, 1, 0, 229, 256, 0, 97, 116, 42, 83.95
Cole Perfetti, IR, Wpg, C- LW- RW, FA, 51, 8, 22, 10, 16, 1, 4, 0, 0, 0, 3, 8, 0, 90, 35, 22, 83.9
John Marino, Healthy, NJ, D, FA, 60, 4, 10, 13, 20, 0, 0, 0, 1, 0, 0, 0, 0, 64, 42, 73, 83.75
Jonathan Toews, Healthy, Chi, C, FA, 47, 14, 15, -25, 37, 8, 3, 0, 0, 1, 532, 308, 0, 80, 6, 22, 83.25
Oskar Sundqvist, Healthy, Min, C- RW, FA, 65, 10, 18, -3, 28, 3, 5, 0, 0, 0, 27, 36, 0, 69, 61, 27, 83.25
Ethan Bear, Healthy, Van, D, FA, 55, 3, 13, 6, 16, 0, 0, 0, 1, 1, 0, 0, 0, 72, 36, 73, 83.15
Nick Holden, Healthy, Ott, D, FA, 60, 2, 14, -2, 10, 0, 0, 0, 1, 0, 0, 0, 0, 61, 74, 62, 83.05
Kyle Burroughs, Healthy, Van, D, FA, 42, 2, 1, -3, 55, 0, 0, 0, 0, 0, 0, 1, 0, 41, 148, 72, 82.9
Nils Lundkvist, Healthy, Dal, D, FA, 60, 6, 10, -5, 26, 1, 2, 0, 0, 2, 0, 0, 0, 94, 49, 67, 82.5
Andrew Cogliano, Healthy, Col, C- LW, FA, 73, 10, 9, 7, 38, 0, 0, 0, 2, 0, 27, 28, 0, 83, 50, 49, 82.4
Milan Lucic, Healthy, Cgy, LW, FA, 72, 7, 12, -11, 37, 0, 0, 0, 0, 0, 15, 20, 0, 71, 153, 14, 82.3
Zemgus Girgensons, Healthy, Buf, C- LW, FA, 73, 9, 7, -5, 14, 0, 1, 0, 0, 0, 88, 111, 0, 97, 93, 43, 81.65
Nick Bonino, IR, Pit, C- LW, FA, 62, 10, 9, -5, 28, 0, 1, 0, 0, 0, 217, 233, 0, 91, 19, 79, 81.15
Evgenii Dadonov, Healthy, Dal, RW- LW, FA, 67, 7, 23, -11, 16, 0, 7, 0, 0, 0, 2, 6, 0, 98, 30, 39, 81.05
Ryan Donato, Healthy, Sea, RW- LW, FA, 64, 13, 11, 17, 34, 0, 1, 0, 0, 0, 52, 69, 0, 108, 60, 12, 80.95
Tyler Johnson, Healthy, Chi, C- RW, FA, 50, 11, 19, -13, 16, 4, 5, 0, 0, 0, 52, 51, 0, 106, 43, 23, 80.75
Jaycob Megna, Healthy, Sea, D, FA, 52, 1, 11, 4, 21, 0, 0, 0, 1, 0, 0, 0, 0, 52, 80, 64, 80.35
Sonny Milano, Healthy, Wsh, LW, FA, 59, 11, 21, -3, 14, 1, 4, 0, 0, 3, 0, 0, 0, 76, 37, 13, 80.3
Alex Newhook, Healthy, Col, C- LW, FA, 75, 13, 14, -1, 22, 1, 1, 0, 0, 3, 193, 277, 0, 108, 57, 25, 80.05
Phil Kessel, Healthy, Vgk, RW, FA, 76, 13, 20, -8, 28, 2, 7, 0, 0, 0, 5, 7, 0, 138, 9, 22, 79.25
Mark Kastelic, Healthy, Ott, C, FA, 60, 6, 3, -7, 85, 0, 0, 0, 0, 2, 303, 226, 0, 64, 135, 36, 79.1
Artem Zub, Healthy, Ott, D, FA, 48, 3, 6, -3, 31, 0, 0, 0, 0, 0, 0, 0, 0, 37, 118, 59, 79.0
Jesse Puljujarvi, Healthy, Car, RW, FA, 69, 5, 10, -13, 32, 0, 0, 0, 0, 1, 0, 2, 0, 116, 129, 25, 78.9
Michael Amadio, Healthy, Vgk, C- RW, FA, 62, 14, 10, -1, 10, 1, 1, 0, 0, 1, 29, 30, 0, 94, 49, 23, 78.75
Jarred Tinordi, DTD, Chi, D, FA, 42, 2, 6, -13, 38, 0, 0, 0, 0, 1, 0, 0, 0, 31, 133, 64, 78.7
Eric Staal, Healthy, Fla, C, FA, 67, 14, 14, -5, 24, 0, 0, 2, 0, 1, 311, 367, 0, 103, 25, 38, 78.3
Curtis Lazar, DTD, NJ, RW- C, FA, 48, 3, 2, -5, 14, 0, 0, 0, 0, 0, 136, 124, 0, 55, 136, 51, 78.1
Jon Merrill, Healthy, Min, D, FA, 67, 2, 9, -2, 30, 0, 0, 0, 0, 0, 0, 0, 0, 39, 42, 96, 78.0
Pius Suter, Healthy, Det, C- LW, FA, 73, 13, 10, -2, 6, 0, 0, 2, 0, 1, 205, 232, 0, 95, 37, 35, 77.8
Arthur Kaliyev, Healthy, LA, RW- LW, FA, 51, 12, 15, -2, 10, 8, 4, 0, 0, 0, 0, 0, 0, 115, 38, 10, 77.4
Derek Ryan, Healthy, Edm, C- RW, FA, 75, 12, 5, 6, 28, 0, 0, 1, 0, 0, 209, 211, 0, 87, 52, 41, 77.3
Cam York, Healthy, Phi, D, FA, 48, 2, 16, 5, 14, 0, 3, 0, 1, 0, 0, 0, 0, 36, 38, 63, 77.1
Tomas Nosek, Healthy, Bos, C- LW, FA, 62, 6, 10, 8, 48, 0, 0, 2, 0, 0, 315, 230, 0, 62, 65, 29, 76.9
Luke Glendening, Healthy, Dal, C- RW, FA, 65, 3, 2, -10, 46, 0, 0, 2, 0, 0, 337, 235, 0, 61, 99, 58, 76.4
Sheldon Dries, Healthy, Van, C- LW, FA, 57, 11, 6, -8, 24, 4, 1, 1, 0, 0, 212, 209, 0, 87, 69, 37, 76.05
Juuso Parssinen, DTD, Nsh, C, BOWS, 42, 5, 18, 2, 15, 1, 7, 0, 0, 2, 155, 155, 0, 47, 75, 16, 75.95
Jakob Silfverberg, Healthy, Ana, RW- LW, FA, 76, 10, 16, -19, 28, 4, 3, 0, 0, 2, 18, 33, 0, 130, 10, 50, 75.95
Travis Boyd, Healthy, Ari, C- RW, FA, 77, 14, 18, -30, 24, 2, 7, 0, 0, 3, 460, 612, 0, 87, 38, 55, 75.75
Sam Steel, Healthy, Min, C- LW, FA, 60, 9, 17, 10, 16, 0, 3, 0, 0, 2, 291, 305, 0, 79, 42, 14, 75.75
Matt Irwin, Healthy, Wsh, D, FA, 56, 2, 3, -9, 34, 0, 0, 0, 0, 0, 0, 0, 0, 74, 113, 67, 75.4
Calvin de Haan, Healthy, Car, D, FA, 53, 2, 10, 7, 20, 0, 0, 0, 0, 0, 0, 0, 0, 51, 84, 49, 75.3
"Liam OBrien", Healthy, Ari, LW- C, FA, 51, 1, 7, -7, 78, 0, 0, 0, 0, 0, 4, 10, 0, 33, 193, 27, 75.3
Brandon Duhaime, Healthy, Min, RW- LW, FA, 45, 8, 1, 7, 40, 0, 0, 1, 0, 3, 4, 5, 0, 66, 128, 16, 73.9
Jan Rutta, DTD, Pit, D, FA, 53, 3, 6, 2, 28, 0, 0, 0, 0, 0, 0, 0, 0, 62, 68, 68, 73.8
Calle Rosen, Healthy, StL, D, FA, 44, 8, 10, 19, 8, 0, 0, 0, 0, 2, 0, 0, 0, 55, 15, 44, 73.7
"Ryan OReilly", IR, Tor, C, FA, 48, 15, 9, -23, 12, 1, 1, 1, 0, 3, 464, 364, 1, 98, 16, 23, 73.65
Zack MacEwen, Healthy, LA, C- RW, FA, 53, 4, 6, -9, 56, 0, 0, 0, 0, 3, 15, 14, 0, 70, 145, 26, 73.5
Noah Gregor, Healthy, SJ, C- LW- RW, FA, 51, 8, 6, -7, 32, 0, 0, 0, 1, 1, 7, 16, 1, 105, 86, 32, 73.45
Paul Stastny, Healthy, Car, C- LW, FA, 69, 9, 13, 4, 16, 2, 2, 0, 0, 3, 271, 196, 0, 78, 20, 17, 72.2
Ilya Mikheyev, IR, Van, RW- LW, FA, 46, 13, 15, 3, 2, 1, 2, 0, 0, 2, 2, 8, 0, 91, 13, 14, 72.2
Mathieu Joseph, Healthy, Ott, RW- LW, FA, 51, 3, 15, 4, 36, 1, 2, 2, 1, 0, 3, 5, 0, 58, 75, 26, 71.75
Teddy Blueger, Healthy, Vgk, C- LW, FA, 59, 4, 11, -8, 30, 0, 0, 0, 1, 1, 282, 266, 0, 79, 68, 45, 71.65
Scott Harrington, Healthy, NJ, D, FA, 44, 4, 7, -7, 10, 0, 0, 0, 0, 1, 0, 0, 0, 33, 51, 76, 71.6
Danton Heinen, Healthy, Pit, C- LW- RW, FA, 60, 6, 14, -6, 12, 1, 1, 0, 0, 0, 2, 3, 0, 87, 73, 23, 71.55
Michael Stone, Healthy, Cgy, D, FA, 47, 6, 5, 4, 35, 0, 2, 0, 0, 1, 0, 0, 0, 88, 52, 55, 71.4
Fabian Zetterlund, Healthy, SJ, LW- C- RW, FA, 61, 6, 17, -1, 12, 1, 2, 0, 0, 1, 6, 10, 0, 109, 47, 18, 71.4
Mason Shaw, O, Min, C, FA, 59, 7, 10, -1, 79, 0, 0, 0, 2, 0, 15, 13, 0, 92, 87, 27, 71.1
James van Riemsdyk, Healthy, Phi, LW- RW, FA, 55, 10, 17, 0, 22, 2, 2, 0, 0, 1, 7, 7, 0, 101, 17, 20, 71.0
Brendan Smith, Healthy, NJ, D, FA, 58, 0, 5, 1, 63, 0, 0, 0, 1, 0, 1, 0, 0, 54, 95, 69, 70.95
Matt Nieto, Healthy, Col, LW- RW, FA, 74, 12, 10, -15, 14, 0, 1, 0, 0, 2, 8, 8, 0, 107, 41, 31, 70.85
Nathan Bastian, DTD, NJ, RW- LW, FA, 39, 6, 6, 6, 31, 0, 0, 0, 0, 1, 8, 24, 0, 59, 90, 35, 70.7
Calen Addison, Healthy, Min, D, FA, 60, 3, 25, -16, 22, 0, 18, 0, 0, 1, 0, 0, 0, 74, 18, 37, 70.1
Parker Kelly, O, Ott, C- LW, FA, 55, 1, 3, -9, 37, 0, 0, 0, 1, 1, 5, 6, 0, 59, 172, 25, 69.95
Gustav Nyquist, IR, Min, RW- LW, FA, 48, 10, 12, -11, 16, 0, 0, 2, 0, 2, 14, 18, 0, 97, 39, 28, 69.9
Rasmus Kupari, Healthy, LA, C- RW, FA, 61, 3, 12, -2, 10, 0, 0, 0, 1, 0, 203, 167, 0, 45, 76, 32, 69.65
Oliver Ekman-Larsson, IR, Van, D, FA, 54, 2, 20, -24, 22, 0, 4, 0, 1, 0, 0, 0, 0, 90, 58, 43, 69.45
Peyton Krebs, Healthy, Buf, C- LW, FA, 67, 8, 16, -10, 48, 1, 1, 1, 0, 0, 222, 269, 0, 70, 86, 18, 69.05
Josh Bailey, Healthy, NYI, LW- RW, FA, 63, 8, 17, 3, 2, 0, 3, 0, 0, 2, 40, 56, 0, 72, 11, 29, 68.95
JJ Peterka, Healthy, Buf, RW- LW, FA, 70, 11, 20, -11, 22, 2, 3, 0, 0, 1, 5, 4, 0, 117, 18, 9, 68.75
Tyler Pitlick, Healthy, StL, RW, FA, 57, 5, 9, -4, 14, 0, 0, 0, 0, 0, 2, 2, 0, 49, 99, 28, 68.7
Saku Maenalanen, Healthy, Wpg, RW- LW, FA, 59, 4, 6, 1, 14, 0, 0, 0, 0, 0, 3, 5, 0, 57, 105, 31, 68.6
Pat Maroon, Healthy, TB, LW- RW, FA, 75, 5, 9, -4, 136, 0, 1, 0, 0, 0, 2, 9, 0, 61, 163, 12, 68.45
Alexandre Carrier, O, Nsh, D, FA, 43, 2, 7, 0, 27, 0, 0, 0, 0, 1, 0, 0, 0, 48, 57, 67, 68.2
Pierre-Edouard Bellemare, Healthy, TB, RW- C, FA, 68, 4, 9, -6, 34, 0, 0, 0, 2, 0, 301, 261, 0, 47, 63, 48, 68.2
Ryan McLeod, DTD, Edm, C- LW, FA, 55, 11, 11, 3, 16, 0, 0, 2, 1, 0, 278, 295, 0, 73, 38, 20, 68.15
Michael Eyssimont, Healthy, TB, C, FA, 50, 4, 9, 3, 57, 0, 0, 0, 0, 0, 12, 21, 0, 115, 101, 19, 67.7
Denis Malgin, Healthy, Col, C, FA, 59, 10, 7, 1, 8, 0, 1, 0, 0, 0, 4, 6, 0, 99, 63, 17, 67.55
Corey Perry, Healthy, TB, RW, FA, 76, 12, 13, -24, 80, 6, 6, 0, 0, 3, 0, 0, 0, 111, 46, 23, 67.4
Brett Howden, Healthy, Vgk, C, FA, 49, 5, 7, 4, 47, 0, 0, 0, 0, 0, 101, 96, 0, 49, 92, 32, 66.8
Nikita Zaitsev, Healthy, Chi, D, FA, 43, 1, 6, -10, 20, 0, 0, 0, 0, 0, 0, 0, 0, 17, 90, 68, 66.7
Adam Boqvist, DTD, Cls, D, FA, 40, 5, 16, -8, 8, 0, 9, 0, 0, 1, 0, 0, 0, 63, 20, 42, 65.75
Philipp Kurashev, O, Chi, LW- RW, FA, 70, 9, 16, -32, 14, 0, 4, 0, 0, 2, 85, 105, 0, 116, 38, 34, 65.6
Jonatan Berggren, Healthy, Det, RW- C, FA, 61, 14, 11, -16, 16, 5, 4, 0, 0, 0, 3, 3, 0, 83, 19, 26, 65.4
Gavin Bayreuther, Healthy, Cls, D, FA, 45, 2, 11, -15, 21, 0, 1, 0, 0, 0, 0, 0, 0, 54, 49, 67, 64.75
Mattias Janmark, Healthy, Edm, LW- C, FA, 61, 8, 14, 6, 26, 0, 0, 2, 1, 1, 22, 31, 0, 73, 17, 24, 64.65
Tyler Bertuzzi, Healthy, Bos, LW- RW, ME, 45, 7, 16, -12, 27, 3, 5, 0, 0, 0, 4, 12, 0, 99, 45, 20, 64.65
Josh Manson, O, Col, D, FA, 27, 2, 8, 13, 42, 0, 0, 0, 0, 2, 0, 0, 0, 41, 64, 41, 64.1
A.J. Greer, Healthy, Bos, LW, FA, 56, 5, 7, 9, 87, 0, 0, 0, 0, 1, 2, 1, 0, 61, 97, 23, 64.1
